"SampleID","Constructed","NonChimera","Final","Percent_ChimeraLoss"
"001",35581,31985,28772,10.11
"002",40551,36298,32959,10.49
"003",41894,36018,30948,14.03
"004",37076,34662,33195,6.51
"005",39351,36857,33838,6.34
"006",45506,37807,32079,16.92
"007",39091,33898,29601,13.28
"008",40482,35270,30500,12.87
"009",38092,32946,28469,13.51
"010",37502,32826,29475,12.47
"011",29817,28104,26352,5.75
"012",44587,38326,32573,14.04
"013",71427,63422,55005,11.21
"014",29317,27323,25392,6.8
"015",36932,32095,29776,13.1
"016",39173,34289,29692,12.47
"017",39092,33961,30122,13.13
"018",39823,34519,30155,13.32
"019",37199,35778,33812,3.82
"020",39424,34003,29157,13.75
"021",42034,36798,33185,12.46
"022",41719,36928,32361,11.48
"023",29687,28570,25920,3.76
"024",43779,39239,35967,10.37
"025",39677,37529,36097,5.41
"026",41279,36592,32552,11.35
"027",40276,37352,34246,7.26
