"Input","Filtered","DenoisedF","DenoisedR","Merged","Run","SampleID"
92309,48697,0,0,35581,"SingleRun","001"
92529,55536,0,0,40551,"SingleRun","002"
91266,54428,0,0,41894,"SingleRun","003"
81319,51321,0,0,37076,"SingleRun","004"
82241,49052,0,0,39351,"SingleRun","005"
94830,60062,0,0,45506,"SingleRun","006"
92170,52116,0,0,39091,"SingleRun","007"
91897,54196,0,0,40482,"SingleRun","008"
92646,50664,0,0,38092,"SingleRun","009"
94683,50812,0,0,37502,"SingleRun","010"
72640,39554,0,0,29817,"SingleRun","011"
95377,58486,0,0,44587,"SingleRun","012"
90199,85707,0,0,71427,"SingleRun","013"
75429,38987,0,0,29317,"SingleRun","014"
96314,52828,0,0,36932,"SingleRun","015"
93715,52254,0,0,39173,"SingleRun","016"
91720,52068,0,0,39092,"SingleRun","017"
93298,51924,0,0,39823,"SingleRun","018"
84781,47955,0,0,37199,"SingleRun","019"
93990,51613,0,0,39424,"SingleRun","020"
93008,55847,0,0,42034,"SingleRun","021"
94023,56247,0,0,41719,"SingleRun","022"
73145,39745,0,0,29687,"SingleRun","023"
96361,59660,0,0,43779,"SingleRun","024"
83222,54310,0,0,39677,"SingleRun","025"
94030,55648,0,0,41279,"SingleRun","026"
78994,51275,0,0,40276,"SingleRun","027"
